sampleID,taxonomy,presence
170,Chipmunk,0
170,European starling,0
170,Deer,0
170,Deer mouse,0
170,Cow,0
170,Elk,0
170,Flying squirrel,0
170,Ground squirrel,0
170,Meadow vole,0
170,Moose,1
170,Muskrat,0
170,Pig,0
170,Rabbit,0
170,Red squirrel,0
170,Red-backed vole,0
170,Ruffed grouse,0
170,Snowshoe hare,0
170,Spruce grouse,0
170,Wild turkey,0
170,Wolf or Coyote,1
171,Chipmunk,0
171,European starling,0
171,Deer,0
171,Deer mouse,0
171,Cow,0
171,Elk,0
171,Flying squirrel,0
171,Ground squirrel,0
171,Meadow vole,0
171,Moose,0
171,Muskrat,0
171,Pig,0
171,Rabbit,0
171,Red squirrel,0
171,Red-backed vole,0
171,Ruffed grouse,0
171,Snowshoe hare,1
171,Spruce grouse,0
171,Wild turkey,0
171,Wolf or Coyote,1
172,Chipmunk,0
172,European starling,0
172,Deer,0
172,Deer mouse,1
172,Cow,0
172,Elk,0
172,Flying squirrel,0
172,Ground squirrel,0
172,Meadow vole,0
172,Moose,1
172,Muskrat,0
172,Pig,0
172,Rabbit,0
172,Red squirrel,0
172,Red-backed vole,0
172,Ruffed grouse,0
172,Snowshoe hare,0
172,Spruce grouse,0
172,Wild turkey,0
172,Wolf or Coyote,1
175,Chipmunk,0
175,European starling,0
175,Deer,0
175,Deer mouse,1
175,Cow,0
175,Elk,0
175,Flying squirrel,0
175,Ground squirrel,0
175,Meadow vole,0
175,Moose,0
175,Muskrat,0
175,Pig,0
175,Rabbit,0
175,Red squirrel,0
175,Red-backed vole,0
175,Ruffed grouse,0
175,Snowshoe hare,1
175,Spruce grouse,0
175,Wild turkey,0
175,Wolf or Coyote,1
176,Chipmunk,0
176,European starling,0
176,Deer,0
176,Deer mouse,0
176,Cow,0
176,Elk,0
176,Flying squirrel,0
176,Ground squirrel,0
176,Meadow vole,0
176,Moose,0
176,Muskrat,0
176,Pig,0
176,Rabbit,0
176,Red squirrel,0
176,Red-backed vole,0
176,Ruffed grouse,0
176,Snowshoe hare,1
176,Spruce grouse,0
176,Wild turkey,0
176,Wolf or Coyote,1
177,Chipmunk,0
177,European starling,0
177,Deer,0
177,Deer mouse,0
177,Cow,0
177,Elk,0
177,Flying squirrel,0
177,Ground squirrel,0
177,Meadow vole,0
177,Moose,0
177,Muskrat,0
177,Pig,0
177,Rabbit,0
177,Red squirrel,0
177,Red-backed vole,0
177,Ruffed grouse,0
177,Snowshoe hare,1
177,Spruce grouse,0
177,Wild turkey,0
177,Wolf or Coyote,1
183,Chipmunk,0
183,European starling,0
183,Deer,0
183,Deer mouse,0
183,Cow,0
183,Elk,1
183,Flying squirrel,0
183,Ground squirrel,0
183,Meadow vole,0
183,Moose,0
183,Muskrat,0
183,Pig,0
183,Rabbit,0
183,Red squirrel,1
183,Red-backed vole,0
183,Ruffed grouse,0
183,Snowshoe hare,0
183,Spruce grouse,0
183,Wild turkey,0
183,Wolf or Coyote,1
203,Chipmunk,0
203,European starling,0
203,Deer,1
203,Deer mouse,0
203,Cow,0
203,Elk,0
203,Flying squirrel,0
203,Ground squirrel,0
203,Meadow vole,0
203,Moose,0
203,Muskrat,0
203,Pig,0
203,Rabbit,0
203,Red squirrel,0
203,Red-backed vole,0
203,Ruffed grouse,0
203,Snowshoe hare,0
203,Spruce grouse,0
203,Wild turkey,0
203,Wolf or Coyote,0
204,Chipmunk,0
204,European starling,0
