SampleID,Season,Date,Latitude,Longitude,Pack,Predator.species.confirmed,Scientific.name
1215,Spring,4/12/15,48.78918833,-117.6004317,Smackout,Coyote,Canis latrans
1216,Spring,4/12/15,48.78879,-117.5997617,Smackout,Coyote,Canis latrans
1545,Spring,4/28/15,48.68457,-117.20679,Goodman Meadows,Coyote,Canis latrans
163033,Fall,10/27/16,48.55302,-117.068825,Goodman Meadows,Wolf,Canis lupus
163036,Fall,10/27/16,48.55446,-117.072102,Goodman Meadows,Coyote,Canis latrans
163038,Fall,10/27/16,48.547423,-117.08055,Goodman Meadows,Coyote,Canis latrans
163043,Fall,10/27/16,48.537747,-117.076183,Goodman Meadows,Coyote,Canis latrans
163044,Fall,10/27/16,48.53561,-117.074347,Goodman Meadows,Coyote,Canis latrans
163047,Fall,10/30/16,48.278172,-117.496542,Dirty Shirt,Coyote,Canis latrans
163048,Fall,10/30/16,48.275918,-117.493963,Dirty Shirt,Coyote,Canis latrans
163056,Fall,10/30/16,48.255508,-117.499598,Dirty Shirt,Wolf,Canis lupus
163076,Fall,10/30/16,48.273095,-117.508203,Dirty Shirt,Coyote,Canis latrans
1635,Spring,5/3/15,48.60919833,-117.059925,Goodman Meadows,Wolf,Canis lupus
163634,Fall,11/15/16,48.757933,-117.504577,Smackout,Coyote,Canis latrans
163638,Fall,11/15/16,48.738985,-117.502253,Smackout,Wolf,Canis lupus
163641,Fall,11/15/16,48.729488,-117.533707,Smackout,Coyote,Canis latrans
164000,Fall,10/23/16,48.804325,-117.581315,Smackout,Coyote,Canis latrans
164004,Fall,10/23/16,48.802668,-117.590407,Smackout,Coyote,Canis latrans
164005,Fall,10/23/16,48.801377,-117.589475,Smackout,Wolf,Canis lupus
164007,Fall,10/23/16,48.801198,-117.589412,Smackout,Wolf,Canis lupus
164008,Fall,10/23/16,48.800765,-117.588922,Smackout,Wolf,Canis lupus
164010,Fall,10/23/16,48.80038,-117.586287,Smackout,Wolf,Canis lupus
164011,Fall,10/23/16,48.800423,-117.58621,Smackout,Wolf,Canis lupus
164077,Fall,10/30/16,48.294347,-117.464393,Dirty Shirt,Wolf,Canis lupus
164079,Fall,10/30/16,48.293972,-117.462793,Dirty Shirt,Coyote,Canis latrans
164086,Fall,10/30/16,48.301835,-117.459193,Dirty Shirt,Wolf,Canis lupus
164087,Fall,10/30/16,48.30538,-117.462312,Dirty Shirt,Coyote,Canis latrans
164088,Fall,10/30/16,48.305562,-117.467055,Dirty Shirt,Coyote,Canis latrans
164189,Fall,11/6/16,48.65986,-117.462758,Smackout,Wolf,Canis lupus
164263,Fall,11/15/16,48.791153,-117.599163,Smackout,Coyote,Canis latrans
164576,Fall,10/30/16,48.299062,-117.484002,Dirty Shirt,Wolf,Canis lupus
164577,Fall,10/30/16,48.29959,-117.484457,Dirty Shirt,Wolf,Canis lupus
164579,Fall,10/30/16,48.30079,-117.486233,Dirty Shirt,Wolf,Canis lupus
164580,Fall,10/30/16,48.302075,-117.486843,Dirty Shirt,Wolf,Canis lupus
164584,Fall,10/30/16,48.301755,-117.495077,Dirty Shirt,Coyote,Canis latrans
164743,Fall,11/16/16,48.70011,-117.530245,Smackout,Wolf,Canis lupus
164748,Fall,11/16/16,48.703803,-117.534768,Smackout,Wolf,Canis lupus
164749,Fall,11/16/16,48.7052,-117.534543,Smackout,Wolf,Canis lupus
170043,Spring,4/5/17,48.61072833,-117.217765,Goodman Meadows,Coyote,Canis latrans
170055,Spring,4/5/17,48.60594333,-117.2026733,Goodman Meadows,Coyote,Canis latrans
170091,Spring,4/9/17,48.66685667,-117.4452533,Smackout,Wolf,Canis lupus
170092,Spring,4/9/17,48.66852833,-117.4492533,Smackout,Wolf,Canis lupus
170521,Spring,4/12/17,48.27444,-117.4598983,Dirty Shirt,Wolf,Canis lupus
170551,Spring,4/15/17,48.73366167,-117.5228633,Smackout,Coyote,Canis latrans
170552,Spring,4/15/17,48.73337333,-117.53278,Smackout,Coyote,Canis latrans
170553,Spring,4/15/17,48.73030833,-117.5292233,Smackout,Coyote,Canis latrans
170555,Spring,4/15/17,48.73435833,-117.5238067,Smackout,Coyote,Canis latrans
170557,Spring,4/15/17,48.73711333,-117.5193533,Smackout,Coyote,Canis latrans
170558,Spring,4/15/17,48.73612667,-117.519865,Smackout,Coyote,Canis latrans
170859,Spring,4/16/17,48.80452333,-117.581695,Smackout,Wolf,Canis lupus
170969,Spring,4/16/17,48.79780167,-117.5758433,Smackout,Coyote,Canis latrans
170977,Spring,4/16/17,48.80412333,-117.58821,Smackout,Wolf,Canis lupus
170979,Spring,4/16/17,48.80215833,-117.5865783,Smackout,Wolf,Canis lupus
170980,Spring,4/16/17,48.80052,-117.5854267,Smackout,Wolf,Canis lupus
170981,Spring,4/16/17,48.799845,-117.584295,Smackout,Wolf,Canis lupus
170982,Spring,4/16/17,48.799185,-117.5839833,Smackout,Wolf,Canis lupus
170983,Spring,4/16/17,48.79350667,-117.592865,Smackout,Wolf,Canis lupus
170992,Spring,4/16/17,48.80150667,-117.5939067,Smackout,Wolf,Canis lupus
170,Spring,4/12/15,48.75635333,-117.5044217,Smackout,Coyote,Canis latrans
171330,Spring,4/26/17,48.28294833,-117.4907267,Dirty Shirt,Wolf,Canis lupus
171334,Spring,4/26/17,48.28047,-117.493405,Dirty Shirt,Coyote,Canis latrans
171348,Spring,4/26/17,48.2769,-117.499655,Dirty Shirt,Coyote,Canis latrans
171401,Spring,4/24/17,48.29011667,-117.4838033,Dirty Shirt,Coyote,Canis latrans
171407,Spring,4/24/17,48.293525,-117.4786867,Dirty Shirt,Wolf,Canis lupus
171413,Spring,4/24/17,48.29195333,-117.458965,Dirty Shirt,Coyote,Canis latrans
171414,Spring,4/24/17,48.29517333,-117.4559483,Dirty Shirt,Wolf,Canis lupus
171421,Spring,4/26/17,48.642425,-117.217435,Goodman Meadows,Coyote,Canis latrans
